clavecct,nombrecct,domicilio,numext,entrecalle,ycalle,callepost,codpost,colonia,ncolonia,localidad,municipio,entidad,ambito,longitud,latitud,turno,nturno,tipo,ntipo,nivel,nnivel,subnivel,nsubnivel,servicio,nservicio,control,ncontrol,subcontrol,nsubcontrol,sostenimiento,nsostenimiento
05FEI0011I,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 19","EMILIANO ZAPATA 395","",MATAMOROS,"LUIS G.","",26200,"","",0001,014,05,URBANO,-100.931667,29.324167,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0012H,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 14","IDELFONSO FUENTES 852","","JIMÉNEZ",COAHUILA,"",25700,"","",0001,006,05,URBANO,-101.430556,26.785278,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0013G,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 24","BOULEVARD DIAGONAL REFORMA 2435","",AZTECAS,ATOYAC,"",27390,"","",0001,035,05,URBANO,-103.441667,25.544444,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0014F,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 32","ZARAGOZA 122 ALTOS","",MORELOS,VIESCA,"",27800,"","",0001,033,05,URBANO,-102.984444,25.758889,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0015E,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 6",CONOCIDO,"","","","",25977,"","",0065,011,05,RURAL,-101.426111,25.568889,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0016D,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 9",CONOCIDO,"","","","","","","",0365,030,05,RURAL,-101.097803,25.331158,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0017C,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 50",CONOCIDO,"","","","",25386,"","",0063,004,05,RURAL,-100.8,25.305833,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0018B,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 3","CALLE DE LA FUENTE 100","","PEDRO GIL FARÍAS","DAVID MARTÍNEZ SOTO","",25903,"","",0001,027,05,URBANO,-100.950278,25.543611,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0019A,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 12","VICENTE GUERRERO 307","","FRANCISCO I. MADERO","PRIVADA GUERRERO","",25617,"","",0001,010,05,URBANO,-101.449444,26.926111,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0020Q,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 13","HIDALGO SN",SN,SANBUENAVENTURA,ZARAGOZA,"",25503,"","",0001,031,05,URBANO,-101.548333,27.059722,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0021P,"MODULO DE ATENCIÓN A PADRES DE FAMLIA NÚM. 21","INDEPENDENCIA 104","","JUÁREZ","MIGUEL HIDALGO","",26530,"","",0001,003,05,URBANO,-100.854167,28.347222,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0022O,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 27","FIERRO 4","","AVENIDA CARRANZA",HIDALGO,"",27440,"","",0001,017,05,URBANO,-103.228056,25.527778,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0023N,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 22","CALZADA DEL BOSQUE SN",SN,"","","",26170,"","",0001,022,05,URBANO,-100.7675,28.421389,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0024M,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 16","VICENTE GUERRERO SN",SN,DALIA,GIRASOL,"",26350,"","",0093,020,05,URBANO,-101.423333,27.889722,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0025L,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 33","ZARAGOZA 122 ALTOS","",MORELOS,VIESCA,"",27800,"","",0001,033,05,URBANO,-102.984444,25.758889,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0026K,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 10","AVENIDA LÓPEZ MATEOS 701","","JUAN LARIOS","AVENIDA LOS REYES","",25750,"","",0001,018,05,URBANO,-101.416667,26.900833,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0027J,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 15","AVENIDA MINEROS SN",SN,"FLORES MAGÓN","NICOLAS BRAVO","",25431,"","",0001,026,05,URBANO,-100.985833,27.428611,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0028I,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 30","FIERRO 4","","AVENIDA  CARRANZA",HIDALGO,"",27440,"","",0001,017,05,URBANO,-103.228056,25.527778,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0029H,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 8","DE LA FUENTE 100","","PEDRO GIL FARÍAS","DAVID MARTÍNEZ SOTO","",25093,"","",0001,027,05,URBANO,-100.950278,25.543611,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0030X,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 20","EMILIANO ZAPATA 395","",MATAMOROS,"LUIS G.","",26230,"","",0001,002,05,URBANO,-100.675,29.069722,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0031W,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 4","AVENIDA MAGISTERIO SN","","BOULEVARD FRANCISCO COSS","PROLONGACIÓN DAVID BERLANGA","",25000,"","",0001,030,05,URBANO,-101.0,25.433333,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0032V,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 7","HIDALGO 208","","GRAL. CEPEDA",MORELOS,"",25955,"","",0001,011,05,URBANO,-101.475,25.376389,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0033U,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 26","FIERRO 4","","AVENIDA CARRANZA",HIDALGO,"",27440,"","",0001,017,05,URBANO,-103.228056,25.527778,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0034T,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 40",CONOCIDO,"","","","",27500,"","",0453,023,05,URBANO,-103.366667,27.030556,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0035S,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 38","HIDALGO 204","","EMILIO CARRANZA","MELCHOR OCAMPO","",27640,"","",0001,007,05,URBANO,-102.066667,26.985833,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0036R,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 54","VENUSTIANO CARRANZA SN","","C. PARREÑA",COMERCIO,"",27630,"","",0059,023,05,RURAL,-103.19905,28.656608,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0037Q,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 44","FIERRO 4","","AVENIDA  CARRANZA",HIDALGO,"",27440,"","",0001,017,05,URBANO,-103.228056,25.527778,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0038P,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 41","BOULEVARD DIAGONAL REFORMA 2435","",AZTECAS,ATOYAC,"",27390,"","",0001,035,05,URBANO,-103.441667,25.544444,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0039O,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 45",CONOCIDO,"","","","",27489,"","",0042,036,05,RURAL,-103.236944,25.291111,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0040D,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 42",CONOCIDO,"","","","","","","",0013,036,05,RURAL,-103.064167,25.483056,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0041C,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 46","BOULEVARD MADERO SN","","16 DE SEPTIEMBRE",XICOTENCATL,"",27900,"","",0001,009,05,URBANO,-103.273056,25.775,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0042B,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 47","BOULEVARD FRANCISCO I MADERO SN",SN,"16 DE SEPTIEMBRE",XICOTENCATL,"",27900,"","",0001,009,05,URBANO,-103.273056,25.775,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0043A,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 48","ZARAGOZA 122 ALTOS","",MORELOS,VIESCA,"",27800,"","",0001,033,05,URBANO,-102.984444,25.758889,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0044Z,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 49","ZARAGOZA 122 ALTOS","",MORELOS,VIESCA,"",27800,"","",0001,033,05,URBANO,-102.984444,25.758889,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0045Z,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 37","REFORMA SN",SN,ALLENDE,BRAVO,"",27980,"","",0027,024,05,RURAL,-102.025278,25.146667,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0046Y,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 43","FIERRO 4","","AVENIDA  CARRANZA",HIDALGO,"",27440,"","",0001,017,05,URBANO,-103.228056,25.527778,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0047X,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 35",CONOCIDO,"","","","",25370,"","",0107,004,05,RURAL,-100.579444,25.2725,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0048W,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 36",CONOCIDO,"","","","","","","",0061,004,05,RURAL,-100.588056,25.393333,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0049V,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 57",CONOCIDO,"","CARRETERA SALTILLO ZACATECAS KILÓMETRO 8","","",25340,"","",0177,030,05,RURAL,-101.061389,24.690556,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0050K,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 5",CONOCIDO,"","","","",25085,"","",0126,030,05,RURAL,-101.076667,25.001667,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0051J,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 51","REFORMA SN",SN,ALLENDE,BRAVO,"",27980,"","",0001,024,05,URBANO,-102.183611,25.436944,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0052I,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 52","IDELFONSO FUENTES 852","","JIMÉNEZ",COAHUILA,"",25700,"","",0001,006,05,URBANO,-101.430556,26.785278,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0053H,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 53","HIDALGO 204","","EMILIO CARRANZA","MELCHOR OCAMPO","",27640,"","",0001,007,05,URBANO,-102.066667,26.985833,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0054G,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 39","HIDALGO 204","",OCAMPO,"EMILIO CARRANZA","",27600,"","",0001,023,05,URBANO,-102.397222,27.313889,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
05FEI0056E,"MODULO DE ATENCIÓN A PADRES DE FAMILIA NÚM. 56","INDEPENDENCIA 104 ALTOS","","JUÁREZ",HIDALGO,"",26170,"","",0001,038,05,URBANO,-100.854167,28.347222,4,DISCONTINUO,4,"EDUCACION INICIAL",41,"NO ESCOLARIZADO",040,"NO ESCOLARIZADO",07,"ATENDER LOS SERVICIOS DE EDUCACION INICIAL NO ESCOLARIZADA",1,"PÚBLICO",2,ESTATAL,24,"FEDERAL TRANSFERIDO"
